program,university,country,publicPrivate,track,language,tuitionIntl,scholarshipName,fundingLevel,stipendCoverage,tunisianEligible,portfolioReq,entryRequirements,applicationOpens,deadline,sourceUrl,fitNotes,verified,verificationNotes
MAGMa — Managing Art & Cultural Heritage in Global Markets (Erasmus Mundus Joint Master),"Consortium: University of Glasgow (coordinator), ISCTE-IUL Lisbon, Universidade de Lisboa (Humanities), IESA Arts & Culture Paris, Erasmus University Rotterdam",United Kingdom / Portugal / France / Netherlands,Consortium (public universities + IESA private arts school),Music-Business (arts & cultural management / creative-industries business),"English (UNVERIFIED explicit, but English-medium)","EUR 22,224 (£19,000)/yr = EUR 44,448 (£38,000) for 2 years for self-funded international students",Erasmus Mundus Joint Masters Scholarship,Full,"Up to EUR 33,600 total — covers tuition, travel insurance, and monthly living stipend across mobility locations",Y,N,"2:1 Honours degree (preferably related field); English test required if English not first language (IELTS score UNVERIFIED); transcripts, CV, references, passport",1 Oct 2025 for prior cycle; 2027 ~Oct 2026 (expected),Scholarship deadline 19 Jan 2026 for 2026 intake; self-funded ~late Aug 2026 — PRIOR CYCLE - confirm new date for Sept 2027,https://www.gla.ac.uk/postgraduate/erasmusmundus/magma/,"Track-2 business fit: art-market economics, cultural management, marketing, law — leverageable toward music-business/entertainment management and industry network. Not production/tech.",Unverified,verification agent returned nothing
"Mundus Journalism — Journalism, Media and Globalisation (Erasmus Mundus Joint Master)","Consortium: Aarhus University (coordinator) + second-year partner (e.g. Hamburg, City St George's London, Amsterdam, Swansea)",Denmark + partner (Germany / UK / Netherlands),Consortium (public universities),Media/Communication (Business track-2 adjacent),English,Waived for scholarship holders (self-funded fee UNVERIFIED),Erasmus Mundus Joint Masters Scholarship,Full,"Full tuition waiver (both years) + ~EUR 1,400/month for up to 24 months (living, visas, set-up, part of travel); 10-15 fully funded scholarships/cohort",Y,Check (journalistic profile/samples weighed in selection),Bachelor's degree; strong academic + journalistic profile; English proficiency (level on official admissions page — UNVERIFIED exact score),1 Nov 2025 for prior cycle; 2027 ~Nov 2026 (expected),"10 Jan 2026 (23:59 CET) for 2026-2028 intake, closed — PRIOR CYCLE - confirm new date (Sept 2027 call ~Nov 2026-Jan 2027)",https://mundusjournalism.com/ (admissions: https://mundusjournalism.com/admissions/tuition-stipends-and-scholarships),"Weaker direct fit — journalism/media, not music. Relevant only for media-industry/communications network and strategic media analysis. Highly competitive. Include as a stretch/adjacent option.",Unverified,verification agent returned nothing
DAAD Study Scholarships – Master Studies for All Academic Disciplines,DAAD (German Academic Exchange Service),Germany,Public,Sound/Music-Tech,Depends on chosen master (German or English),"N/A (scholarship, not a program)",DAAD Study Scholarship – Master Studies for All Academic Disciplines,Full,EUR 992/month stipend + health/accident/liability insurance + travel allowance + one-off study allowance; does NOT cover tuition (most public masters are tuition-free anyway). Possible rent/family subsidies and German course.,Y,N/A (portfolio depends on target program),"First degree (Bachelor) completed by funding start, normally within last 6 years; strong grades; admission or application to a German master. This is the general-purpose route to fund a taught audio/tech master.",UNVERIFIED (varies by region/year),Set per DAAD Tunis regional office; typically autumn for the following academic year. PRIOR CYCLE - confirm new date via portal,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50026200,Best general funding vehicle for the candidate: can fund ANY of the audio/music-tech or business masters below; CS degree + good grades makes candidate competitive; IELTS/TOEFL will be needed for English programs.,Unverified,verification agent returned nothing
DAAD Study Scholarships – Postgraduate Studies in the Field of Music,DAAD (German Academic Exchange Service),Germany,Public,Sound-Design/Production,German (host Musikhochschule),N/A (scholarship),DAAD Study Scholarship – Postgraduate Studies in the Field of Music (artistic),Full,EUR 992/month + travel allowance + one-off study allowance + insurance; does NOT cover tuition. Funds 2-4 semesters at German state music colleges.,Y,Y - work samples (audio/video) must be uploaded to DAAD media database,First degree IN MUSIC obtained within 6 years of deadline; must not have lived in Germany >15 months. Requires written CONFIRMATION OF SUPERVISION from a German music-college teacher + host admission.,~June 1 annually (UNVERIFIED exact date for 2027 cycle),Applications open ~June 1 annually; deadline set per year/region. PRIOR CYCLE - confirm new date,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=57135743,"Artistic-only funding; requires a MUSIC first degree, which the candidate (Software Engineering) does NOT hold - likely INELIGIBLE unless entering as music graduate. Flagged as a caution, not a primary route.",Unverified,verification agent returned nothing
DAAD Development-Related Postgraduate Courses (EPOS),DAAD (German Academic Exchange Service),Germany,Public,General-Business/MBA,English or German (per course),Covered where the EPOS course charges fees,DAAD EPOS Scholarship (Development-Related Postgraduate Courses),Full,EUR ~992/month + travel + insurance + study/research allowance + possible rent/family subsidy + preparatory German course. Fully funded.,Y,"N (academic, not artistic)",Bachelor + at least 2 YEARS relevant professional experience; from an eligible developing country (Tunisia listed). Course list is fixed (~40 development-related programmes).,Varies by course (UNVERIFIED),Set per individual EPOS course (many Jul-Oct). PRIOR CYCLE - confirm new date; see 2026-27 EPOS brochure,https://www.daad.de/en/information-services-for-higher-education-institutions/further-information-on-daad-programmes/epos/,"Fully funded and Tunisia-eligible, BUT the EPOS course catalogue is development-themed (governance, economics, engineering) - NO music/audio courses. Only marginally relevant unless candidate pivots to a management/dev course; also needs 2 yrs work experience the new-grad candidate lacks.",Unverified,verification agent returned nothing
"Chevening Scholarship (Tunisia) - funding, applies to ANY UK master's above",UK Government (FCDO) - tenable at any UK university,United Kingdom,Consortium,General-Business/MBA,English,,Chevening Scholarship,Full,Full tuition + monthly living stipend + return airfare + other allowances (1-yr master's),Y (country eligible),N,"Tunisian citizen; undergraduate degree; MUST have ~2 years / 2,800 hours work experience AFTER graduation; commit to return to Tunisia 2 years; secure UK unconditional offer by ~8 July 2027",Early August 2026 (annual pattern; confirm),"6 October 2026, 11:00 UTC (2027/28 intake - CURRENT, verified)",https://www.chevening.org/scholarship/tunisia/,"CRITICAL: candidate is a FRESH graduate with NO post-degree work experience, so NOT eligible for the Sept-2027 cycle. Best path: work 2 yrs, then apply for a later intake. Keep on radar, not actionable now.",Unverified,verification agent returned nothing
Commonwealth Master's Scholarship - NOT open to Tunisians,Commonwealth Scholarship Commission (UK),United Kingdom,Consortium,General-Business/MBA,English,,Commonwealth Master's Scholarship (CSC),Full,Full tuition + stipend + airfare (for eligible nationals only),N,N,Must be a citizen/permanent resident of an eligible Commonwealth country,N/A,N/A for this candidate,https://cscuk.fcdo.gov.uk/scholarships/commonwealth-masters-scholarships/,"Tunisia is NOT a Commonwealth member, so Tunisian nationals are INELIGIBLE for Commonwealth Scholarships. Listed only to document that this route is closed for this candidate.",Unverified,verification agent returned nothing
"Fulbright Foreign Student Program (funds a full US master's in any eligible field, incl. music technology/business)",US Dept. of State / Amideast Tunisia (host = any accredited US university),USA,Public,Sound/Music-Tech,English,N/A - award covers tuition,Fulbright Foreign Student Program (Tunisia),Full,"Tuition and required fees, monthly living stipend, round-trip international travel, and a limited health benefits plan (per official Amideast/US Embassy Tunisia notices)",Y,Check - depends on host program (music-tech/arts host programs will require portfolio),Tunisian citizen/permanent-passport-holder residing in Tunisia through selection; US-equivalent bachelor's by start date; strong English (TOEFL/IELTS/Duolingo or a Long-Term English program before study); intent to return to Tunisia; preference for little/no prior US experience; clinical medicine/nursing excluded (public health OK),2027 cycle opened 16 April 2026 (via apply.iie.org/ffsp2027),2027 cycle deadline was 30 June 2026 (now CLOSED). Next (2028 entry) cycle expected to open ~April 2027 - confirm new date,https://www.amideast.org/fulbright-foreign-student-program-for-tunisia,Best full-funding route for this Tunisian candidate; can fund NYU/GaTech/CMU/Frost music-tech OR a music-business MA. 2027 deadline just missed - target the 2028 cycle (Sept 2028 entry).,Unverified,verification agent returned nothing
Australia Awards Scholarships — funding scheme,Australian Government (DFAT),Australia,Consortium,General-Business/MBA,English,N/A (full scholarship),Australia Awards Scholarships,Full,Full tuition + travel + stipend + OSHC (for eligible countries only),N,N,"Restricted to listed partner countries. Africa list includes Algeria, Egypt, Morocco, and Sub-Saharan states — Tunisia is NOT on the eligible-countries list",N/A for this candidate,N/A for this candidate,https://www.dfat.gov.au/people-to-people/australia-awards/participating-countries,NOT available to Tunisians — Tunisia is absent from the DFAT participating-countries list (neighbouring Algeria/Morocco/Egypt are included). Rule out for this candidate.,Unverified,verification agent returned nothing
Manaaki New Zealand Government Scholarships — funding scheme,Education New Zealand / NZ Government (MFAT),New Zealand,Consortium,General-Business/MBA,English,N/A (full scholarship),Manaaki New Zealand Scholarships,Full,Full tuition + living allowance + travel (eligible countries only),N,N,"Eligible-countries page lists Pacific and Asian countries (Cambodia, Indonesia, Philippines, Vietnam, etc.). No Africa/Middle East section — Tunisia is not listed",N/A for this candidate,N/A for this candidate,https://www.nzscholarships.govt.nz/check-eligible-countries/,NOT available to Tunisians per the official eligible-countries page (Pacific + Asia only). Some aggregators wrongly list Tunisia — the official list does not. Rule out.,Unverified,verification agent returned nothing
"Music (MA) — Sonic Arts / Sound Engineering & Design concentration, Dr. Erol Üçer MIAM",Istanbul Technical University (ITU),Turkey,Public,Sound/Music-Tech,English (MIAM MA delivered in English) — confirm per concentration,Covered by scholarship (public university),Türkiye Bursları (Türkiye Scholarships) — Art Scholarship Programme,Full,"Full tuition + 6,500 TL/month master stipend (2x under Merit) + accommodation (dorm 1st yr, then 5,000-6,000 TL/mo housing allowance) + health insurance + one-way flight + 1 yr free Turkish course",Y,Y,Bachelor's completed; master applicants under 30; min ~75% GPA; MIAM admission (portfolio/interview). English proof; IELTS/TOEFL not always mandatory for TB but check MIAM.,~10 January (annually),PRIOR CYCLE - confirm new date; window ~10 Jan – 20 Feb 2026 (Art Scholarship). Sept-2027 window expected ~Jan-Feb 2027,https://miam.itu.edu.tr/en/1st-education-masters/,"Very strong PRIMARY fit: sonic arts + music/audio tech, fully funded; CS/software background is an asset for DSP/programming; builds production skills for DJ/producer goal.",Unverified,verification agent returned nothing
"Music (MA) — Music Business and Management concentration, MIAM",Istanbul Technical University (ITU),Turkey,Public,Music-Business,English — confirm,Covered by scholarship (public university),Türkiye Bursları (Türkiye Scholarships) — Art Scholarship Programme,Full,"Same as TB Art Scholarship: tuition + 6,500 TL/mo master stipend + accommodation + insurance + flight + Turkish course",Y,Check,Bachelor's; master under 30; ~75% GPA; MIAM admission requirements,~10 January (annually),PRIOR CYCLE - confirm new date; ~10 Jan – 20 Feb 2026 window,https://miam.itu.edu.tr/en/1st-education-masters/,Secondary (business) track fully funded at same institute as the sonic-arts option — industry/network + music-business knowledge for a producer/DJ career.,Unverified,verification agent returned nothing
